letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,37206,37206,37206,37206.0,15.5418,,
S,19107,19107,19107,19107.0,7.9814,,
A,17165,17165,17165,17165.0,7.1702,,
N,17093,17093,17093,17093.0,7.1401,,
T,16625,16625,16625,16625.0,6.9446,,
I,16156,16156,16156,16156.0,6.7487,,
R,16095,16095,16095,16095.0,6.7233,,
U,15095,15095,15095,15095.0,6.3055,,
O,14899,14899,14899,14899.0,6.2237,,
L,12997,12997,12997,12997.0,5.4291,,
M,8000,8000,8000,8000.0,3.3418,,
D,7681,7681,7681,7681.0,3.2085,,
C,7210,7210,7210,7210.0,3.0118,,
P,6590,6590,6590,6590.0,2.7528,,
V,4193,4193,4193,4193.0,1.7515,,
É,3709,3709,3709,3709.0,1.5493,,
Q,2891,2891,2891,2891.0,1.2076,,
H,2808,2808,2808,2808.0,1.173,,
F,2401,2401,2401,2401.0,1.003,,
G,2235,2235,2235,2235.0,0.9336,,
B,1936,1936,1936,1936.0,0.8087,,
J,1333,1333,1333,1333.0,0.5568,,
À,1252,1252,1252,1252.0,0.523,,
È,827,827,827,827.0,0.3455,,
X,784,784,784,784.0,0.3275,,
Z,736,736,736,736.0,0.3074,,
Y,627,627,627,627.0,0.2619,,
Ê,585,585,585,585.0,0.2444,,
Â,264,264,264,264.0,0.1103,,
K,205,205,205,205.0,0.0856,,
Ô,137,137,137,137.0,0.0572,,
Ù,125,125,125,125.0,0.0522,,
Û,114,114,114,114.0,0.0476,,
Î,100,100,100,100.0,0.0418,,
Ç,89,89,89,89.0,0.0372,,
Ë,68,68,68,68.0,0.0284,,
W,35,35,35,35.0,0.0146,,
Ï,19,19,19,19.0,0.0079,,
Æ,1,1,1,1.0,0.0004,,
