letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,21743,21743,21743,21743.0,13.2473,,,21743.0
A,17653,17653,17653,17653.0,10.7554,,,17653.0
O,14901,14901,14901,14901.0,9.0787,,,14901.0
S,12342,12342,12342,12342.0,7.5196,,,12342.0
R,10964,10964,10964,10964.0,6.68,,,10964.0
N,10005,10005,10005,10005.0,6.0957,,,10005.0
I,9484,9484,9484,9484.0,5.7783,,,9484.0
L,8919,8919,8919,8919.0,5.4341,,,8919.0
D,7622,7622,7622,7622.0,4.6439,,,7622.0
U,7385,7385,7385,7385.0,4.4995,,,7385.0
T,7224,7224,7224,7224.0,4.4014,,,7224.0
C,6304,6304,6304,6304.0,3.8408,,,6304.0
M,5392,5392,5392,5392.0,3.2852,,,5392.0
P,3930,3930,3930,3930.0,2.3944,,,3930.0
H,2542,2542,2542,2542.0,1.5488,,,2542.0
Q,2208,2208,2208,2208.0,1.3453,,,2208.0
B,2000,2000,2000,2000.0,1.2185,,,2000.0
Y,1956,1956,1956,1956.0,1.1917,,,1956.0
V,1936,1936,1936,1936.0,1.1795,,,1936.0
G,1803,1803,1803,1803.0,1.0985,,,1803.0
Á,1626,1626,1626,1626.0,0.9907,,,1626.0
F,1079,1079,1079,1079.0,0.6574,,,1079.0
Í,1015,1015,1015,1015.0,0.6184,,,1015.0
É,1012,1012,1012,1012.0,0.6166,,,1012.0
Ó,901,901,901,901.0,0.549,,,901.0
Z,653,653,653,653.0,0.3979,,,653.0
J,551,551,551,551.0,0.3357,,,551.0
Ñ,409,409,409,409.0,0.2492,,,409.0
X,274,274,274,274.0,0.1669,,,274.0
Ú,212,212,212,212.0,0.1292,,,212.0
º,66,66,66,66.0,0.0402,,,66.0
Ü,10,10,10,10.0,0.0061,,,10.0
K,5,5,5,5.0,0.003,,,5.0
W,4,4,4,4.0,0.0024,,,4.0
Ï,1,1,1,1.0,0.0006,,,1.0
