letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,20335,20335,20335,20335.0,16.5866,,,20335.0
N,12739,12739,12739,12739.0,10.3908,,,12739.0
I,9783,9783,9783,9783.0,7.9797,,,9783.0
R,8845,8845,8845,8845.0,7.2146,,,8845.0
S,8139,8139,8139,8139.0,6.6387,,,8139.0
H,6686,6686,6686,6686.0,5.4536,,,6686.0
T,6420,6420,6420,6420.0,5.2366,,,6420.0
D,5955,5955,5955,5955.0,4.8573,,,5955.0
A,5505,5505,5505,5505.0,4.4902,,,5505.0
U,4625,4625,4625,4625.0,3.7725,,,4625.0
L,4533,4533,4533,4533.0,3.6974,,,4533.0
G,4063,4063,4063,4063.0,3.3141,,,4063.0
C,3779,3779,3779,3779.0,3.0824,,,3779.0
M,3676,3676,3676,3676.0,2.9984,,,3676.0
O,3459,3459,3459,3459.0,2.8214,,,3459.0
B,2705,2705,2705,2705.0,2.2064,,,2705.0
W,2220,2220,2220,2220.0,1.8108,,,2220.0
K,1620,1620,1620,1620.0,1.3214,,,1620.0
F,1610,1610,1610,1610.0,1.3132,,,1610.0
Z,1442,1442,1442,1442.0,1.1762,,,1442.0
V,1080,1080,1080,1080.0,0.8809,,,1080.0
Ü,788,788,788,788.0,0.6427,,,788.0
Ö,641,641,641,641.0,0.5228,,,641.0
Ä,641,641,641,641.0,0.5228,,,641.0
Y,568,568,568,568.0,0.4633,,,568.0
P,517,517,517,517.0,0.4217,,,517.0
J,195,195,195,195.0,0.1591,,,195.0
X,25,25,25,25.0,0.0204,,,25.0
Q,5,5,5,5.0,0.0041,,,5.0
