letter,exp 1,minimum,maximum,average,average_percent,STD,VAR,estimate
E,21743,21743,21743,21743.0,13.6853,,,21743.0
A,17653,17653,17653,17653.0,11.111,,,17653.0
O,14901,14901,14901,14901.0,9.3788,,,14901.0
S,12342,12342,12342,12342.0,7.7682,,,12342.0
R,10964,10964,10964,10964.0,6.9008,,,10964.0
N,10005,10005,10005,10005.0,6.2972,,,10005.0
I,9484,9484,9484,9484.0,5.9693,,,9484.0
L,8919,8919,8919,8919.0,5.6137,,,8919.0
D,7622,7622,7622,7622.0,4.7974,,,7622.0
U,7385,7385,7385,7385.0,4.6482,,,7385.0
T,7224,7224,7224,7224.0,4.5469,,,7224.0
C,6304,6304,6304,6304.0,3.9678,,,6304.0
M,5392,5392,5392,5392.0,3.3938,,,5392.0
P,3930,3930,3930,3930.0,2.4736,,,3930.0
H,2542,2542,2542,2542.0,1.6,,,2542.0
Q,2208,2208,2208,2208.0,1.3897,,,2208.0
B,2000,2000,2000,2000.0,1.2588,,,2000.0
Y,1956,1956,1956,1956.0,1.2311,,,1956.0
V,1936,1936,1936,1936.0,1.2185,,,1936.0
G,1803,1803,1803,1803.0,1.1348,,,1803.0
F,1079,1079,1079,1079.0,0.6791,,,1079.0
Z,653,653,653,653.0,0.411,,,653.0
J,551,551,551,551.0,0.3468,,,551.0
X,274,274,274,274.0,0.1725,,,274.0
K,5,5,5,5.0,0.0031,,,5.0
W,4,4,4,4.0,0.0025,,,4.0
